wavelength[nm]	sigma.r[m2/mol]	sigma.fr[m2/mol]
350	1048	261
351		
352	1124	271
353		
354	1190	274
355		
356	1263	282
357		
358	1326	291
359		
360	1389	301
361		
362	1436	312
363		
364	1468	326
365		
366	1484	335
367		
368	1517	349
369		
370	1529	365
371		
372	1540	381
373		
374	1545	397
375		
376	1577	411
377		
378	1577	426
379		
380	1586	442
381		
382	1572	451
383		
384	1557	464
385		
386	1505	485
387		
388	1464	496
389		
390	1381	511
391		
392	1294	524
393		
394	1215	534
395		
396	1097	540
397		
398	1004	553
399		
400	904	559
401		
402	810	563
403		
404	733	568
405		
406	668	571
407		
408	604	573
409		
410	561	570
411		
412	519	564
413		
414	471	557
415		
416	427	543
417		
418	408	528
419		
420	366	507
421		
422	348	489
423		
424	320	454
425		
426	308	431
427		
428	292	401
429		
430	274	377
431		
432	263	353
433		
434	244	325
435		
436	244	300
437		
438	230	273
439		
440	230	261
441		
442	209	233
443		
444	196	217
445		
446	184	202
447		
448	172	186
449		
450	162	169
451		
452	162	155
453		
454	150	144
455		
456	143	132
457		
458	128	126
459		
460	128	112
461		
462	119	106
463		
464	119	99.1
465		
466	107	93.1
467		
468	107	87.7
469		
470	101	81.9
471		
472	101	75.7
473		
474	92.9	72.2
475		
476	92.9	71.8
477		
478	84.6	62.5
479		
480	84.6	57.8
481		
482	84.6	53.1
483		
484	74.8	49.6
485		
486	74.8	49.6
487		
488	74.8	49.6
489		
490	74.8	44.9
491		
492	68.7	45.2
493		
494	68.7	41.6
495		
496	68.7	41.6
497		
498	68.7	36.9
499		
500	68.7	36.9
501		
502	77	36.5
503		
504	77	37.6
505		
506	77	32.9
507		
508	77	32.9
509		
510	77	32.9
511		
512	77	32.9
513		
514	88.4	33.3
515		
516	93.7	27.3
517		
518	110	26.4
519		
520	110	26.4
521		
522	109	26.3
523		
524	122	30.9
525		
526	130	30.4
527		
528	130	30.4
529		
530	137	30
531		
532	153	29.2
533		
534	168	28.4
535		
536	168	28.4
537		
538	186	32.9
539		
540	202	32.1
541		
542	221	33.3
543		
544	239	32.3
545		
546	252	35.2
547		
548	270	34.3
549		
550	304	39.3
551		
552	311	39
553		
554	343	37.3
555		
556	369	43.9
557		
558	403	42.1
559		
560	421	45.8
561		
562	435	45.1
563		
564	468	49.9
565		
566	504	55.6
567		
568	523	54.6
569		
570	560	61.3
571		
572	595	59.5
573		
574	640	65.8
575		
576	679	69.5
577		
578	735	73.1
579		
580	789	76.7
581		
582	844	80.7
583		
584	908	84.2
585		
586	967	93
587		
588	1052	95.1
589		
590	1122	99.7
591		
592	1201	110
593		
594	1304	121
595		
596	1381	124
597		
598	1477	136
599		
600	1576	146
601		
602	1665	148
603		
604	1745	157
605		
606	1815	161
607		
608	1894	171
609		
610	1950	179
611		
612	2015	192
613		
614	2063	199
615		
616	2104	212
617		
618	2141	218
619		
620	2184	232
621		
622	2247	244
623		
624	2303	257
625		
626	2361	269
627		
628	2454	282
629		
630	2540	301
631		
632	2657	321
633		
634	2803	333
635		
636	2917	352
637		
638	3070	376
639		
640	3220	396
641		
642	3418	416
643		
644	3613	439
645		
646	3791	460
647		
648	3982	485
649		
650	4242	510
651		
652	4444	531
653		
654	4624	558
655		
656	4887	587
657		
658	5089	611
659		
660	5250	634
661		
662	5414	660
663		
664	5535	680
665		
666	5601	705
667		
668	5582	724
669		
670	5519	740
671		
672	5322	754
673		
674	5115	765
675		
676	4764	784
677		
678	4378	798
679		
680	4052	809
681		
682	3594	826
683		
684	3119	842
685		
686	2689	857
687		
688	2307	878
689		
690	1906	899
691		
692	1563	917
693		
694	1276	942
695		
696	1014	965
697		
698	809	994
699		
700	649	1027
701		
702	527	1054
703		
704	427	1089
705		
706	331	1125
707		
708	277	1151
709		
710	236	1195
711		
712	187	1232
713		
714	169	1268
715		
716	147	1298
717		
718	135	1337
719		
720	117	1374
721		
722	103	1405
723		
724	103	1438
725		
726	92.1	1459
727		
728	92.1	1483
729		
730	80.8	1502
731		
732	80.8	1508
733		
734	73.3	1513
735		
736	73.3	1505
737		
738	73.3	1488
739		
740	73.3	1467
741		
742	73.3	1435
743		
744	73.3	1394
745		
746	73.3	1338
747		
748	61.9	1281
749		
750	61.9	1209
751		
752	61.9	1132
753		
754	61.9	1056
755		
756	61.9	983
757		
758	61.9	903
759		
760	61.9	839
761		
762	61.9	738
763		
764	61.9	677
765		
766	61.9	616
767		
768	61.9	539
769		
770	49.8	475
771		
772	49.8	422
773		
774	49.8	367
775		
776	49.8	322
777		
778	49.8	287
779		
780	49.8	248
781		
782	49.8	224
783		
784	49.8	196
785		
786	49.8	177
787		
788	49.8	153
789		
790	49.8	138
791		
792	49.8	130
793		
794	49.8	117
795		
796	49.8	102
797		
798	49.8	92.2
799		
800	49.8	92.2
